Hora,Dia,Temperatura,Umidade,Vento,CO,NO2
0,0,16.0,58.9,3.18,4.319,118.7
1,0,16.0,53.2,1.17,3.741,115.4
2,0,18.8,55.9,2.62,3.9,138.0
3,0,21.6,60.6,1.19,4.742,154.5
4,0,18.9,61.4,5.39,3.388,123.3
5,0,19.4,54.0,2.01,3.024,145.3
6,0,23.2,53.7,3.74,2.804,115.9
7,0,21.4,59.1,2.29,3.267,174.5
8,0,18.4,47.0,2.08,3.031,128.6
9,0,19.6,52.5,0.13,2.547,142.4
10,0,16.6,61.7,3.9,1.966,117.7
11,0,15.4,60.3,4.95,0.457,96.0
12,0,15.5,57.2,1.63,0.577,68.3
13,0,9.9,49.5,0.68,2.124,106.1
14,0,9.1,57.0,4.2,1.15,77.2
15,0,10.3,53.9,0.53,1.383,79.7
16,0,8.6,59.1,4.83,0.286,55.5
17,0,10.8,52.7,1.64,1.147,64.4
18,0,8.2,52.4,1.35,1.463,51.3
19,0,7.3,47.5,3.37,2.231,71.0
20,0,13.6,62.0,1.44,2.666,74.4
21,0,11.0,54.7,1.94,2.939,77.6
22,0,12.6,57.0,3.53,2.883,95.8
23,0,10.9,56.7,0.64,3.884,116.5
0,1,14.1,50.4,5.46,3.571,119.5
1,1,16.7,48.7,3.07,3.979,126.0
2,1,15.4,50.4,1.06,3.789,139.1
3,1,19.5,50.5,1.47,4.234,147.2
4,1,18.3,56.3,4.49,3.26,140.0
5,1,19.4,50.2,3.9,3.67,148.2
6,1,19.0,63.0,5.08,3.295,160.7
7,1,23.7,58.0,1.98,2.242,113.3
8,1,19.5,58.2,3.44,2.585,127.1
9,1,16.6,54.4,3.64,1.558,
10,1,19.3,61.8,4.04,2.123,92.5
11,1,14.0,54.7,4.69,1.541,123.9
12,1,15.6,55.2,1.92,1.112,94.9
13,1,10.0,57.9,2.83,1.061,97.2
14,1,10.0,60.5,2.08,1.09,92.7
15,1,12.0,59.6,2.92,0.729,72.3
16,1,12.3,53.9,4.05,1.645,37.0
17,1,10.7,54.1,0.52,1.01,63.3
18,1,9.9,60.2,4.66,1.956,72.7
19,1,9.7,60.7,1.29,1.789,52.6
20,1,7.9,55.7,2.54,1.648,43.7
21,1,10.2,49.0,4.87,2.167,87.4
22,1,11.8,55.4,3.49,2.377,70.0
23,1,16.0,58.3,3.51,3.85,141.7
0,2,16.0,64.2,1.23,3.139,115.3
1,2,13.1,50.1,1.43,4.636,154.4
2,2,18.5,52.3,4.41,3.514,130.6
3,2,18.1,52.6,2.12,4.578,158.3
4,2,18.3,61.3,2.26,4.035,147.1
5,2,21.4,53.4,4.45,3.87,162.8
6,2,22.4,48.7,1.43,3.493,114.4
7,2,22.0,56.2,3.4,3.394,156.2
8,2,18.0,52.6,3.06,2.732,143.3
9,2,18.3,48.4,3.0,1.565,114.6
10,2,18.5,50.0,2.22,1.534,104.2
11,2,18.6,63.1,2.13,1.437,97.6
12,2,14.4,57.6,1.38,0.941,93.7
13,2,13.7,56.4,3.72,1.509,105.5
14,2,10.6,55.6,2.0,0.837,
15,2,9.4,58.6,4.45,0.171,35.0
16,2,12.6,57.6,2.66,0.787,99.2
17,2,13.2,57.5,1.41,,72.7
18,2,10.2,57.5,2.64,1.291,57.0
19,2,12.5,60.6,2.38,1.394,82.8
20,2,11.7,56.6,4.51,1.658,84.6
21,2,10.5,52.0,2.45,2.984,96.0
22,2,13.6,52.9,2.59,3.2,89.8
23,2,17.1,45.0,5.12,3.278,115.0
0,3,15.4,65.5,3.76,3.66,132.9
1,3,19.9,58.3,5.49,3.854,100.5
2,3,12.8,52.0,4.89,3.544,133.8
3,3,20.7,52.4,1.67,4.592,151.6
4,3,20.0,50.8,4.48,4.107,151.0
5,3,19.7,61.8,5.29,2.782,137.5
6,3,20.7,46.7,5.3,3.25,160.3
7,3,16.4,55.7,4.48,2.074,126.5
8,3,19.4,53.6,4.45,2.914,135.1
9,3,19.8,58.2,2.55,2.798,133.9
10,3,21.0,53.2,1.74,1.881,111.1
11,3,15.8,46.5,2.47,1.474,81.7
12,3,13.9,54.6,0.5,0.327,
13,3,13.2,51.2,5.01,1.217,87.8
14,3,14.8,55.9,2.58,1.341,72.9
15,3,12.6,63.4,4.94,1.248,69.3
16,3,10.1,48.3,1.15,1.801,24.3
17,3,11.7,52.5,4.62,0.402,73.2
18,3,10.7,54.0,2.26,1.943,82.9
19,3,12.6,54.3,1.07,2.807,59.0
20,3,9.8,60.8,5.44,1.127,55.2
21,3,11.3,55.7,4.66,2.334,103.9
22,3,12.2,58.4,3.32,2.786,75.5
